predio,id,estado_uno,estatus_agosto,idea_final,zona,nombre,demolicion,rehabilitacion,cn_cdh,cn_rest,cn_comercial,costo_alberca,costo_av,costo_estacionamiento,costo_terraza,costo_terreno,cuartos_uso_suelo,camaristas,recepcionistas,gerentes,cost_sevicios_cdh,cost_servicios_rest,cost_servicios_comercial,cost_nom_camarista,cost_nom_recep,cost_nom_geren,cost_nomina_t,cost_imp_benef_nomina,ing_renta_hab,aumento_amenidades,aumento_rehab,aumento_cdh,aumento_rest,aumento_comer,aforo_rest,mesas_rest,nomina_rest_t,costo_imp_benef_nom_rest,ingresos_rest,ingresos_comercial
Predio 84,N18,BUENO,EN VENTA,HOTEL,ZONA TRADICIONAL,MANSIÓN BLANCA,33024221.03,,31531038.06,27838925.36,26244327.24,956435.746,,0,0,17761401.12,33,2,3,1,297000,25800,198000,240000,432000,720000,1392000,269491.2,7949700,143465.3619,0,20495174.74,6959731.34,17058812.71,172,43,3024000,585446.4,4876200,6930000
Predio 85,N19,BUENO,EN VENTA,CONDOMINIO,ZONA TRADICIONAL,COYUCA N. 22,0,0,0,0,0,0,,0,0,29857362.58,13,1,3,1,117000,0,78000,120000,432000,720000,1272000,246259.2,3131700,0,0,0,0,0,0,0,240000,46464,0,2730000
Predio 86,N20,INSERVIBLE,EN VENTA,CONDOMINIO,ZONA TRADICIONAL,"AV. COYUCA N. 150, LAS PLAYAS",6898898.372,,6586966.183,5815668.345,5482550.106,0,,0,0,2313927,8,1,3,1,72000,5400,48000,120000,432000,720000,1272000,246259.2,1927200,0,0,4281528.019,1453917.086,3563657.569,36,9,1200000,232320,1020600,1680000
Predio 87,N22,NECESITA REPARACIONES MENORES,EN VENTA,AREA COMERCIAL,ZONA TRADICIONAL,AVENIDA LA SUIZA N.24 ,5172291.253,2729970.163,4938427.23,4360164.318,4110416.538,0,,0,0,2200000,3,1,3,1,27000,4200,18000,120000,432000,720000,1272000,246259.2,722700,0,545994.0325,3209977.699,1090041.079,2671770.749,27,7,1080000,209088,793800,630000
Predio 88,N23,NECESITA REPARACIONES MENORES,EN VENTA,RESTAURANTE,ZONA TRADICIONAL,LOCALES COMERCIALES,28985631.43,15298811.51,27675052.41,24434454.61,23034862.68,632407.6331,,0,0,3300000,4,1,3,1,36000,22800,24000,120000,432000,720000,1272000,246259.2,963600,94861.14496,3059762.301,17988784.07,6108613.653,14972660.74,151,38,2664000,515750.4,4309200,840000
Predio 89,N26,NECESITA REPARACIONES MENORES,EN VENTA,HOTEL,ZONA TRADICIONAL,FRENTE A PLAYA LA ANGOSTA,13798398.19,7282887.507,13174506.62,11631843.7,10965578.18,776580.9075,,0,0,6338528.28,30,2,3,1,270000,10800,180000,240000,432000,720000,1392000,269491.2,7227000,116487.1361,1456577.501,8563429.302,2907960.925,7127625.818,72,18,1560000,302016,2041200,6300000
Predio 90,N27,BUENO,EN VENTA,AREA COMERCIAL,ZONA DORADA,ANTIGUA UNIVERSIDAD PRIVADA,21323618.37,11254749.41,20359475.6,17975491.98,16945865.83,0,,506859.525,0,14800000,19,1,3,1,171000,16800,114000,120000,432000,720000,1272000,246259.2,4577100,40548.762,2250949.881,13233659.14,4493872.995,11014812.79,111,28,2304000,446054.4,3175200,3990000
Predio 91,N28,INSERVIBLE,EN VENTA,HOTEL,ZONA TRADICIONAL,JAI ALAI ACAPULCO,194796859.8,,185989162.1,164210845,154804939.4,0,,0,0,11500000,113,9,6,1,1017000,37800,678000,1080000,864000,720000,2664000,515750.4,27221700,0,0,120892955.4,41052711.24,100623210.6,250,63,3984000,771302.4,7144200,23730000
Predio 92,N29,INSERVIBLE,EN VENTA,HOTEL ,ZONA TRADICIONAL,ALTIA residences,97420899.9,,93016035.11,82124364.38,77420326.59,731385.415,,1370137.662,1551260.032,103383942.3,26,2,3,1,234000,37800,156000,240000,432000,720000,1392000,269491.2,6263400,374444.8284,0,60460422.82,20531091.09,50323212.29,250,63,3984000,771302.4,7144200,5460000
Predio 93,N30,NECESITA REPARACIONES MENORES,EN VENTA,RESTAURANTE,ZONA DORADA,EL  ALEBRJE BAR,149041542.6,,142302661.6,125639795.6,118443218.2,0,0,0,0,4736151,50,4,3,1,450000,37800,300000,480000,432000,720000,1632000,315955.2,12045000,0,0,92496730.07,31409948.89,76988091.81,250,63,3984000,771302.4,7144200,10500000
Predio 94,N31,NECESITA REPARACIONES MENORES,EN VENTA,HOTEL,ZONA TRADICIONAL,GRAN VIA TROPICAL,50092055.61,,47827154.22,42226855.14,39808124.43,908103.6031,0,0,0,90000000,202,16,9,1,1818000,37800,1212000,1920000,1296000,720000,3936000,762009.6,48661800,136215.5405,0,31087650.24,10556713.79,25875280.88,250,63,3984000,771302.4,7144200,42420000
Predio 95,N32,NECESITA REPARACIONES MENORES,EN VENTA,RESTAURANTE,ZONA DORADA,ANDROMEDA BAR,26551242.65,,25350733.99,22382301.22,21100255.49,0,0,0,294357.888,196250221.7,5,1,3,1,45000,21000,30000,120000,432000,720000,1272000,246259.2,1204500,29435.7888,0,16477977.1,5595575.304,13715166.07,138,35,2664000,515750.4,3969000,1050000
Predio 96,N33,NECESITA REPARACIONES MENORES,EN VENTA,RESTAURANTE,ZONA DORADA,PIPO ACAPULCO,23005838.77,,21965634.78,19393578.67,18282725.3,0,0,194704.1419,83566.016,25119273.87,11,1,3,1,99000,18000,66000,120000,432000,720000,1272000,246259.2,2649900,23932.93295,0,14277662.61,4848394.667,11883771.45,120,30,2304000,446054.4,3402000,2310000
